,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Total_Interceptions,Rating
2243,Nikola Kalinic,2013/2014,Dnipro,Europe-UEFA-Europa-League,UEL,4,224,-,6.66
2244,Nikola Kalinic,2012/2013,Dnipro,Europe-UEFA-Europa-League,UEL,5,243,-,6.24
2245,Nikola Kalinic,2010/2011,Blackburn,England-Premier-League,EPL,18,1073,7,6.4
2246,Nikola Kalinic,2009/2010,Blackburn,England-Premier-League,EPL,26,1451,2,6.28
2247,Birkir Bjarnason,2017/2018,Aston Villa,England-Championship,EC,25,1100,12,6.61
2248,Birkir Bjarnason,2016/2017,Aston Villa,England-Championship,EC,8,407,5,6.24
2249,Birkir Bjarnason,2016/2017,FC Basel 1893,Europe-UEFA-Champions-League,UCL,5,434,5,6.45
2250,Birkir Bjarnason,2015/2016,FC Basel 1893,Europe-UEFA-Europa-League,UEL,10,800,5,6.69
2251,Birkir Bjarnason,2016,Iceland,International-European-Championship,UEC,5,450,4,6.54
2252,Birkir Bjarnason,2013/2014,Sampdoria,Italy-Serie-A,ISA,14,694,6,6.34
2253,Birkir Bjarnason,2012/2013,Pescara,Italy-Serie-A,ISA,24,1615,13,6.51
2254,Rúrik Gíslason,2017/2018,Nuernberg,Germany-Bundesliga-II,GB2,4,124,1,6.18
2255,Rúrik Gíslason,2017/2018,Sandhausen,Germany-Bundesliga-II,GB2,15,1260,6,6.83
2256,Rúrik Gíslason,2016/2017,Nuernberg,Germany-Bundesliga-II,GB2,15,328,3,6.16
2257,Rúrik Gíslason,2015/2016,Nuernberg,Germany-Bundesliga-II,GB2,11,529,12,6.34
2258,Rúrik Gíslason,2014/2015,FC Copenhagen,Europe-UEFA-Europa-League,UEL,5,332,2,6.31
2259,Rúrik Gíslason,2013/2014,FC Copenhagen,Europe-UEFA-Champions-League,UCL,6,392,5,6.81
2260,Rúrik Gíslason,2012/2013,FC Copenhagen,Europe-UEFA-Europa-League,UEL,4,318,9,6.78
2261,Elderson Echiéjilé,2017/2018,Sivasspor,Turkey-Super-Lig,TS,7,457,5,6.32
2262,Elderson Echiéjilé,2016/2017,Sporting Gijo..,Spain-La-Liga,SLL,3,197,4,6.33
2263,Elderson Echiéjilé,2016/2017,Standard Lieg..,Europe-UEFA-Europa-League,UEL,3,165,3,6.39
2264,Elderson Echiéjilé,2015/2016,Monaco,Europe-UEFA-Europa-League,UEL,4,168,10,6.13
2265,Elderson Echiéjilé,2015/2016,Monaco,France-Ligue-1,FL1,20,1568,41,6.84
2266,Elderson Echiéjilé,2014/2015,Monaco,Europe-UEFA-Champions-League,UCL,3,184,7,6.61
2267,Elderson Echiéjilé,2014/2015,Monaco,France-Ligue-1,FL1,12,889,25,6.99
2268,Elderson Echiéjilé,2013/2014,Monaco,France-Ligue-1,FL1,5,450,13,6.76
2269,Elderson Echiéjilé,2013,Nigeria,International-Confederations-Cup,ICC,3,270,5,6.96
2270,Elderson Echiéjilé,2012/2013,Braga,Europe-UEFA-Champions-League,UCL,3,270,5,6.57
2271,Elderson Echiéjilé,2010/2011,Braga,Europe-UEFA-Champions-League,UCL,3,270,4,7.08
2272,John Ogu,2017/2018,Hapoel Beer S..,Europe-UEFA-Europa-League,UEL,4,256,6,6.71
2273,John Ogu,2016/2017,Hapoel Beer S..,Europe-UEFA-Europa-League,UEL,7,630,11,7.0
2274,John Ogu,2013,Nigeria,International-Confederations-Cup,ICC,3,128,3,6.31
2275,John Ogu,2012/2013,Academica,Europe-UEFA-Europa-League,UEL,5,322,12,6.91
2276,Renato Augusto,2018,Beijing Guoan,China-Super-league,CSl,9,810,13,8.15
2277,Renato Augusto,2017,Beijing Guoan,China-Super-league,CSl,28,2452,29,7.29
2278,Renato Augusto,2016,Beijing Guoan,China-Super-league,CSl,23,1846,22,7.39
2279,Renato Augusto,2015,Corinthians,Brazil-Brasileirão,BSA,30,2579,24,7.23
2280,Renato Augusto,2014,Corinthians,Brazil-Brasileirão,BSA,29,2062,15,7.04
2281,Renato Augusto,2013,Corinthians,Brazil-Brasileirão,BSA,15,1000,11,6.8
2282,Renato Augusto,2012/2013,Bayer Leverku..,Germany-Bundesliga,GB,6,106,1,6.09
2283,Renato Augusto,2012/2013,Bayer Leverku..,Europe-UEFA-Europa-League,UEL,5,318,9,7.14
2284,Renato Augusto,2011/2012,Bayer Leverku..,Germany-Bundesliga,GB,18,1351,12,6.99
2285,Renato Augusto,2011/2012,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,4,247,4,6.04
2286,Renato Augusto,2010/2011,Bayer Leverku..,Germany-Bundesliga,GB,27,2222,26,7.4
2287,Renato Augusto,2009/2010,Bayer Leverku..,Germany-Bundesliga,GB,17,954,14,6.98
2288,Taison,2017/2018,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,8,720,4,6.94
2289,Taison,2016/2017,Shakhtar Done..,Europe-UEFA-Europa-League,UEL,8,447,2,7.32
2290,Taison,2015/2016,Shakhtar Done..,Europe-UEFA-Europa-League,UEL,8,611,9,7.26
2291,Taison,2015/2016,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,5,256,2,6.74
2292,Taison,2014/2015,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,8,461,14,6.91
2293,Taison,2013/2014,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,6,324,3,6.98
2294,Taison,2013/2014,Shakhtar Done..,Europe-UEFA-Europa-League,UEL,2,91,-,6.86
2295,Taison,2012/2013,Metalist Khar..,Europe-UEFA-Europa-League,UEL,5,415,4,7.42
2296,Taison,2012/2013,Shakhtar Done..,Europe-UEFA-Champions-League,UCL,2,108,1,6.59
2297,Giancarlo González,2017/2018,Bologna,Italy-Serie-A,ISA,22,1858,33,6.63
2298,Giancarlo González,2016/2017,Palermo,Italy-Serie-A,ISA,21,1660,44,6.47
2299,Giancarlo González,2015/2016,Palermo,Italy-Serie-A,ISA,35,3138,75,6.72
2300,Giancarlo González,2014/2015,Palermo,Italy-Serie-A,ISA,28,2491,27,6.89
2301,Giancarlo González,2014,Columbus Crew,USA-Major-League-Soccer,UMLS,17,1530,42,7.3
2302,Giancarlo González,2014,Costa Rica,International-FIFA-World-Cup,WC,5,450,11,7.42
2303,Kendall Waston,2018,Vancouver Whi..,USA-Major-League-Soccer,UMLS,13,1093,22,6.79
2304,Kendall Waston,2017,Vancouver Whi..,USA-Major-League-Soccer,UMLS,28,2520,57,7.08
2305,Kendall Waston,2016,Vancouver Whi..,USA-Major-League-Soccer,UMLS,26,2267,62,6.87
2306,Kendall Waston,2015,Vancouver Whi..,USA-Major-League-Soccer,UMLS,30,2666,127,7.48
2307,Kendall Waston,2014,Vancouver Whi..,USA-Major-League-Soccer,UMLS,11,911,47,7.8
2308,Celso Borges,2017/2018,Deportivo La ..,Spain-La-Liga,SLL,32,2307,34,6.89
2309,Celso Borges,2016/2017,Deportivo La ..,Spain-La-Liga,SLL,34,2723,62,6.98
2310,Celso Borges,2015/2016,Deportivo La ..,Spain-La-Liga,SLL,24,1910,34,6.8
2311,Celso Borges,2014/2015,Deportivo La ..,Spain-La-Liga,SLL,17,1474,34,6.99
2312,Celso Borges,2014,Costa Rica,International-FIFA-World-Cup,WC,5,438,6,6.7
2313,Celso Borges,2012/2013,AIK,Europe-UEFA-Europa-League,UEL,6,475,8,6.56
2314,Héctor Moreno,2017/2018,Roma,Italy-Serie-A,ISA,5,227,3,6.44
2315,Héctor Moreno,2017/2018,Real Sociedad,Spain-La-Liga,SLL,8,720,10,6.96
2316,Héctor Moreno,2017/2018,Real Sociedad,Europe-UEFA-Europa-League,UEL,1,76,2,6.67
2317,Héctor Moreno,2016/2017,PSV Eindhoven,Europe-UEFA-Champions-League,UCL,6,540,16,6.86
2318,Héctor Moreno,2016/2017,PSV Eindhoven,Netherlands-Eredivisie,NE,32,2831,56,7.19
2319,Héctor Moreno,2015/2016,PSV Eindhoven,Europe-UEFA-Champions-League,UCL,8,720,17,7.11
2320,Héctor Moreno,2015/2016,PSV Eindhoven,Netherlands-Eredivisie,NE,29,2582,40,7.08
2321,Héctor Moreno,2014/2015,Espanyol,Spain-La-Liga,SLL,19,1595,23,6.69
2322,Héctor Moreno,2013/2014,Espanyol,Spain-La-Liga,SLL,32,2809,54,6.93
2323,Héctor Moreno,2014,Mexico,International-FIFA-World-Cup,WC,4,317,3,7.15
2324,Héctor Moreno,2013,Mexico,International-Confederations-Cup,ICC,3,270,5,6.59
2325,Héctor Moreno,2012/2013,Espanyol,Spain-La-Liga,SLL,32,2772,72,6.91
2326,Héctor Moreno,2011/2012,Espanyol,Spain-La-Liga,SLL,35,3150,118,6.95
2327,Héctor Moreno,2009/2010,AZ Alkmaar,Europe-UEFA-Champions-League,UCL,6,540,13,6.78
2328,Kim Shin-wook,2014,South Korea,,WC,2,100,-,6.67
2329,Martin Olsson,2017/2018,Swansea,England-Premier-League,EPL,36,3154,31,6.32
2330,Martin Olsson,2016/2017,Norwich,England-Championship,EC,19,1374,36,6.69
2331,Martin Olsson,2016/2017,Swansea,England-Premier-League,EPL,15,1253,10,6.75
2332,Martin Olsson,2015/2016,Norwich,England-Premier-League,EPL,24,1773,25,6.48
2333,Martin Olsson,2014/2015,Norwich,England-Championship,EC,45,4002,73,6.79
2334,Martin Olsson,2016,Sweden,International-European-Championship,UEC,3,270,3,6.6
2335,Martin Olsson,2013/2014,Norwich,England-Premier-League,EPL,34,2965,40,6.69
2336,Martin Olsson,2012,Sweden,International-European-Championship,UEC,3,270,7,6.89
2337,Martin Olsson,2011/2012,Blackburn,England-Premier-League,EPL,27,2180,46,6.6
2338,Martin Olsson,2010/2011,Blackburn,England-Premier-League,EPL,29,2371,35,6.75
2339,Martin Olsson,2009/2010,Blackburn,England-Premier-League,EPL,21,1721,28,6.91
2340,Simon Mignolet,2017/2018,Liverpool,England-Premier-League,EPL,19,1710,-,6.49
2341,Simon Mignolet,2016/2017,Liverpool,England-Premier-League,EPL,28,2520,1,6.72
2342,Simon Mignolet,2015/2016,Liverpool,Europe-UEFA-Europa-League,UEL,15,1350,1,6.64
2343,Simon Mignolet,2015/2016,Liverpool,England-Premier-League,EPL,34,3060,2,6.52
2344,Simon Mignolet,2014/2015,Liverpool,Europe-UEFA-Champions-League,UCL,6,540,-,6.44
2345,Simon Mignolet,2014/2015,Liverpool,Europe-UEFA-Europa-League,UEL,2,180,-,6.64
2346,Simon Mignolet,2014/2015,Liverpool,England-Premier-League,EPL,36,3224,-,6.73
2347,Simon Mignolet,2013/2014,Liverpool,England-Premier-League,EPL,38,3420,1,6.68
2348,Simon Mignolet,2012/2013,Sunderland,England-Premier-League,EPL,38,3420,-,6.99
2349,Simon Mignolet,2011/2012,Sunderland,England-Premier-League,EPL,29,2573,2,6.86
2350,Simon Mignolet,2010/2011,Sunderland,England-Premier-League,EPL,23,2070,-,6.72
2351,Marouane Fellaini,2017/2018,Manchester Un..,Europe-UEFA-Champions-League,UCL,3,221,2,7.21
2352,Marouane Fellaini,2017/2018,Manchester Un..,England-Premier-League,EPL,16,613,14,6.94
2353,Marouane Fellaini,2016/2017,Manchester Un..,England-Premier-League,EPL,28,1600,29,6.91
2354,Marouane Fellaini,2016/2017,Manchester Un..,Europe-UEFA-Europa-League,UEL,11,695,12,7.16
2355,Marouane Fellaini,2015/2016,Manchester Un..,Europe-UEFA-Europa-League,UEL,2,180,3,6.83
2356,Marouane Fellaini,2015/2016,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,207,1,6.25
2357,Marouane Fellaini,2015/2016,Manchester Un..,England-Premier-League,EPL,18,1070,10,6.78
2358,Marouane Fellaini,2014/2015,Manchester Un..,England-Premier-League,EPL,27,1831,25,7.16
2359,Marouane Fellaini,2016,Belgium,International-European-Championship,UEC,3,144,6,6.73
2360,Marouane Fellaini,2013/2014,Manchester Un..,Europe-UEFA-Champions-League,UCL,5,328,8,6.68
2361,Marouane Fellaini,2013/2014,Everton,England-Premier-League,EPL,3,270,2,7.75
2362,Marouane Fellaini,2013/2014,Manchester Un..,England-Premier-League,EPL,16,1106,31,7.21
2363,Marouane Fellaini,2014,Belgium,International-FIFA-World-Cup,WC,5,385,3,7.01
2364,Marouane Fellaini,2012/2013,Everton,England-Premier-League,EPL,31,2786,37,7.59
2365,Marouane Fellaini,2011/2012,Everton,England-Premier-League,EPL,34,2856,56,7.1
2366,Marouane Fellaini,2010/2011,Everton,England-Premier-League,EPL,20,1654,33,7.1
2367,Marouane Fellaini,2009/2010,Everton,England-Premier-League,EPL,23,1763,60,7.49
2368,Mousa Dembélé,2017/2018,Tottenham,Europe-UEFA-Champions-League,UCL,6,328,6,6.66
2369,Mousa Dembélé,2017/2018,Tottenham,England-Premier-League,EPL,28,1886,33,6.9
2370,Mousa Dembélé,2016/2017,Tottenham,Europe-UEFA-Champions-League,UCL,4,165,6,6.78
2371,Mousa Dembélé,2016/2017,Tottenham,England-Premier-League,EPL,30,2066,25,7.18
2372,Mousa Dembélé,2016/2017,Tottenham,Europe-UEFA-Europa-League,UEL,2,143,1,7.46
2373,Mousa Dembélé,2015/2016,Tottenham,Europe-UEFA-Europa-League,UEL,4,159,2,6.64
2374,Mousa Dembélé,2015/2016,Tottenham,England-Premier-League,EPL,29,2273,56,7.69
2375,Mousa Dembélé,2014/2015,Tottenham,Europe-UEFA-Europa-League,UEL,5,351,3,7.39
2376,Mousa Dembélé,2014/2015,Tottenham,England-Premier-League,EPL,26,1140,22,6.63
2377,Mousa Dembélé,2016,Belgium,International-European-Championship,UEC,1,57,-,7.27
2378,Mousa Dembélé,2013/2014,Tottenham,Europe-UEFA-Europa-League,UEL,7,579,6,7.48
2379,Mousa Dembélé,2013/2014,Tottenham,England-Premier-League,EPL,28,1823,18,7.14
2380,Mousa Dembélé,2014,Belgium,International-FIFA-World-Cup,WC,2,155,1,7.04
2381,Mousa Dembélé,2012/2013,Tottenham,Europe-UEFA-Europa-League,UEL,10,693,13,7.18
2382,Mousa Dembélé,2012/2013,Tottenham,England-Premier-League,EPL,30,2211,41,7.23
2383,Mousa Dembélé,2012/2013,Fulham,England-Premier-League,EPL,2,180,2,8.42
2384,Mousa Dembélé,2011/2012,Fulham,England-Premier-League,EPL,36,2941,33,7.27
2385,Mousa Dembélé,2010/2011,Fulham,England-Premier-League,EPL,24,1923,20,7.12
2386,Mousa Dembélé,2009/2010,AZ Alkmaar,Europe-UEFA-Champions-League,UCL,6,488,6,6.88
2387,Armando Cooper,2017,Toronto FC,USA-Major-League-Soccer,UMLS,23,947,13,6.55
2388,Armando Cooper,2016,Toronto FC,USA-Major-League-Soccer,UMLS,12,821,16,7.36
2389,Alberto Quintero,2016,San Jose Eart..,,UMLS,30,2231,38,6.91
2390,Takashi Inui,2017/2018,Eibar,Spain-La-Liga,SLL,34,2640,18,6.64
2391,Takashi Inui,2016/2017,Eibar,Spain-La-Liga,SLL,28,2088,25,6.83
2392,Takashi Inui,2015/2016,Eibar,Spain-La-Liga,SLL,27,1629,12,6.55
2393,Takashi Inui,2015/2016,Eintracht Fra..,Germany-Bundesliga,GB,1,46,1,6.22
2394,Takashi Inui,2014/2015,Eintracht Fra..,Germany-Bundesliga,GB,27,1824,19,6.78
2395,Takashi Inui,2013/2014,Eintracht Fra..,Europe-UEFA-Europa-League,UEL,4,236,2,6.88
2396,Takashi Inui,2013/2014,Eintracht Fra..,Germany-Bundesliga,GB,14,841,5,6.46
2397,Takashi Inui,2013,Japan,International-Confederations-Cup,ICC,1,1,-,6.11
2398,Takashi Inui,2012/2013,Eintracht Fra..,Germany-Bundesliga,GB,33,2649,30,7.01
2399,Kamil Glik,2017/2018,Monaco,Europe-UEFA-Champions-League,UCL,6,540,4,6.61
2400,Kamil Glik,2017/2018,Monaco,France-Ligue-1,FL1,36,3240,54,7.12
2401,Kamil Glik,2016/2017,Monaco,Europe-UEFA-Champions-League,UCL,10,900,21,6.93
2402,Kamil Glik,2016/2017,Monaco,France-Ligue-1,FL1,36,3240,61,7.16
2403,Kamil Glik,2015/2016,Torino,Italy-Serie-A,ISA,33,2970,88,6.93
2404,Kamil Glik,2014/2015,Torino,Italy-Serie-A,ISA,32,2795,73,7.07
2405,Kamil Glik,2014/2015,Torino,Europe-UEFA-Europa-League,UEL,7,630,16,7.01
2406,Kamil Glik,2016,Poland,International-European-Championship,UEC,5,450,7,7.27
2407,Kamil Glik,2013/2014,Torino,Italy-Serie-A,ISA,34,2965,48,6.94
2408,Kamil Glik,2012/2013,Torino,Italy-Serie-A,ISA,32,2693,54,6.84
2409,Kamil Glik,2010/2011,Bari,Italy-Serie-A,ISA,16,1356,31,6.67
2410,Kamil Grosicki,2017/2018,Hull,England-Championship,EC,37,2131,17,6.73
2411,Kamil Grosicki,2016/2017,Hull,England-Premier-League,EPL,15,1147,12,6.59
2412,Kamil Grosicki,2016/2017,Rennes,France-Ligue-1,FL1,16,989,5,6.68
2413,Kamil Grosicki,2015/2016,Rennes,France-Ligue-1,FL1,33,1525,11,6.62
2414,Kamil Grosicki,2014/2015,Rennes,France-Ligue-1,FL1,19,836,12,6.49
2415,Kamil Grosicki,2016,Poland,International-European-Championship,UEC,5,288,1,6.47
2416,Kamil Grosicki,2013/2014,Rennes,France-Ligue-1,FL1,13,717,9,6.51
2417,Kamil Grosicki,2012,Poland,International-European-Championship,UEC,1,34,-,6.02
2418,Kamil Wilczek,2015/2016,Carpi,,ISA,3,116,-,6.34
2419,Mame Biram Diouf,2017/2018,Stoke,England-Premier-League,EPL,35,2602,14,6.76
2420,Mame Biram Diouf,2016/2017,Stoke,England-Premier-League,EPL,27,1382,18,6.63
2421,Mame Biram Diouf,2015/2016,Stoke,England-Premier-League,EPL,26,1269,5,6.46
2422,Mame Biram Diouf,2015,Senegal,International-Africa-Cup-of-Nations,ACoN,3,270,-,6.92
2423,Mame Biram Diouf,2014/2015,Stoke,England-Premier-League,EPL,34,2438,8,6.83
2424,Mame Biram Diouf,2013/2014,Hannover 96,Germany-Bundesliga,GB,19,1474,5,7.32
2425,Mame Biram Diouf,2012/2013,Hannover 96,Germany-Bundesliga,GB,28,2157,10,7.14
2426,Mame Biram Diouf,2012/2013,Hannover 96,Europe-UEFA-Europa-League,UEL,6,426,2,7.33
2427,Mame Biram Diouf,2011/2012,Hannover 96,Germany-Bundesliga,GB,10,782,4,7.22
2428,Mame Biram Diouf,2010/2011,Blackburn,England-Premier-League,EPL,27,1628,10,6.55
2429,Mame Biram Diouf,2009/2010,Manchester Un..,England-Premier-League,EPL,5,90,2,6.4
2430,Igor Smolnikov,2017/2018,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,5,330,6,6.31
2431,Igor Smolnikov,2017/2018,Zenit St. Pet..,Russia-Premier-League,RPL,22,1853,31,7.06
2432,Igor Smolnikov,2016/2017,Zenit St. Pet..,Russia-Premier-League,RPL,17,1508,22,6.88
2433,Igor Smolnikov,2016/2017,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,2,180,2,6.98
2434,Igor Smolnikov,2015/2016,Zenit St. Pet..,Russia-Premier-League,RPL,26,2050,28,6.79
2435,Igor Smolnikov,2015/2016,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,5,273,4,6.4
2436,Igor Smolnikov,2014/2015,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,3,149,-,6.2
2437,Igor Smolnikov,2014/2015,Zenit St. Pet..,Europe-UEFA-Europa-League,UEL,5,450,10,7.24
2438,Igor Smolnikov,2014/2015,Zenit St. Pet..,Russia-Premier-League,RPL,23,1986,48,7.23
2439,Igor Smolnikov,2016,Russia,International-European-Championship,UEC,3,270,5,6.34
2440,Igor Smolnikov,2013/2014,Zenit St. Pet..,Europe-UEFA-Champions-League,UCL,7,371,9,6.63
2441,Igor Smolnikov,2013/2014,Zenit St. Pet..,Russia-Premier-League,RPL,19,1522,42,7.04
2442,Igor Smolnikov,2013/2014,FC Krasnodar,Russia-Premier-League,RPL,4,360,5,6.7
2443,Martín Campaña,2017/2018,Independiente,Argentina-Primera-División,APD,23,2070,1,6.65
2444,Martín Campaña,2016/2017,Independiente,Argentina-Primera-División,APD,29,2610,1,6.87
2445,Martín Campaña,2016,Independiente,Argentina-Primera-División,APD,11,990,2,7.22
2446,Nicolás Lodeiro,2018,Seattle Sound..,USA-Major-League-Soccer,UMLS,5,450,3,7.37
2447,Nicolás Lodeiro,2017,Seattle Sound..,USA-Major-League-Soccer,UMLS,38,3415,41,7.25
2448,Nicolás Lodeiro,2016,Boca Juniors,Argentina-Primera-División,APD,9,582,8,6.8
2449,Nicolás Lodeiro,2016,Seattle Sound..,USA-Major-League-Soccer,UMLS,19,1710,14,7.38
2450,Nicolás Lodeiro,2015,Uruguay,International-Copa-America,ICA,2,155,1,6.68
2451,Nicolás Lodeiro,2014,Botafogo RJ,Brazil-Brasileirão,BSA,3,205,9,6.62
2452,Nicolás Lodeiro,2014,Corinthians,Brazil-Brasileirão,BSA,7,266,3,6.26
2453,Nicolás Lodeiro,2014,Uruguay,International-FIFA-World-Cup,WC,3,144,2,6.64
2454,Nicolás Lodeiro,2013,Botafogo RJ,Brazil-Brasileirão,BSA,26,1915,21,6.92
2455,Nicolás Lodeiro,2013,Uruguay,International-Confederations-Cup,ICC,2,117,2,8.08
2456,Nicolás Lodeiro,2011/2012,Ajax,Europe-UEFA-Champions-League,UCL,4,175,2,6.49
2457,Fayçal Fajr,2017/2018,Getafe,Spain-La-Liga,SLL,31,2384,30,6.84
2458,Fayçal Fajr,2016/2017,Deportivo La ..,Spain-La-Liga,SLL,24,1205,7,6.36
2459,Fayçal Fajr,2015/2016,Deportivo La ..,Spain-La-Liga,SLL,38,2841,48,6.81
2460,Fayçal Fajr,2014/2015,Elche,Spain-La-Liga,SLL,34,2568,21,6.86
2461,Fayçal Fajr,2011/2012,Caen,France-Ligue-1,FL1,13,748,12,6.44
2462,Adrien Silva,2017/2018,Sporting CP,Portugal-Liga-NOS,PLN,3,224,4,7.24
2463,Adrien Silva,2017/2018,Leicester,England-Premier-League,EPL,12,763,14,6.4
2464,Adrien Silva,2016/2017,Sporting CP,Portugal-Liga-NOS,PLN,27,2160,43,7.11
2465,Adrien Silva,2016/2017,Sporting CP,Europe-UEFA-Champions-League,UCL,5,375,9,7.11
2466,Adrien Silva,2015/2016,Sporting CP,Europe-UEFA-Europa-League,UEL,6,367,10,6.86
2467,Adrien Silva,2014/2015,Sporting CP,Europe-UEFA-Champions-League,UCL,6,531,10,7.11
2468,Adrien Silva,2014/2015,Sporting CP,Europe-UEFA-Europa-League,UEL,2,154,7,7.23
2469,Adrien Silva,2016,Portugal,International-European-Championship,UEC,4,309,3,6.62
2470,Adrien Silva,2012/2013,Sporting CP,Europe-UEFA-Europa-League,UEL,2,98,-,6.6
2471,Sergio Busquets,2017/2018,Barcelona,Spain-La-Liga,SLL,31,2600,51,7.25
2472,Sergio Busquets,2017/2018,Barcelona,Europe-UEFA-Champions-League,UCL,10,768,5,7.01
2473,Sergio Busquets,2016/2017,Barcelona,Spain-La-Liga,SLL,33,2693,47,7.02
2474,Sergio Busquets,2016/2017,Barcelona,Europe-UEFA-Champions-League,UCL,8,691,14,7.0
2475,Sergio Busquets,2015/2016,Barcelona,Spain-La-Liga,SLL,35,2906,67,7.28
2476,Sergio Busquets,2015/2016,Barcelona,Europe-UEFA-Champions-League,UCL,9,725,23,7.29
2477,Sergio Busquets,2014/2015,Barcelona,Spain-La-Liga,SLL,33,2492,49,7.24
2478,Sergio Busquets,2014/2015,Barcelona,Europe-UEFA-Champions-League,UCL,10,788,25,7.1
2479,Sergio Busquets,2016,Spain,International-European-Championship,UEC,4,360,6,6.84
2480,Sergio Busquets,2013/2014,Barcelona,Spain-La-Liga,SLL,32,2656,54,7.21
2481,Sergio Busquets,2013/2014,Barcelona,Europe-UEFA-Champions-League,UCL,9,793,19,7.51
2482,Sergio Busquets,2014,Spain,International-FIFA-World-Cup,WC,2,180,2,5.92
2483,Sergio Busquets,2013,Spain,International-Confederations-Cup,ICC,4,360,8,6.94
2484,Sergio Busquets,2012/2013,Barcelona,Spain-La-Liga,SLL,31,2250,53,7.22
2485,Sergio Busquets,2012/2013,Barcelona,Europe-UEFA-Champions-League,UCL,8,718,18,6.96
2486,Sergio Busquets,2012,Spain,International-European-Championship,UEC,6,540,15,7.36
2487,Sergio Busquets,2011/2012,Barcelona,Spain-La-Liga,SLL,31,2439,85,7.41
2488,Sergio Busquets,2011/2012,Barcelona,Europe-UEFA-Champions-League,UCL,10,875,29,7.27
2489,Sergio Busquets,2010/2011,Barcelona,Spain-La-Liga,SLL,28,2298,81,7.38
2490,Sergio Busquets,2010/2011,Barcelona,Europe-UEFA-Champions-League,UCL,12,1080,31,7.53
2491,Sergio Busquets,2009/2010,Barcelona,Spain-La-Liga,SLL,33,2325,95,7.19
2492,Sergio Busquets,2009/2010,Barcelona,Europe-UEFA-Champions-League,UCL,9,604,23,7.13
2493,James Troisi,2016,Liaoning Hong..,China-Super-league,CSl,3,168,2,6.39
2494,James Troisi,2014,Australia,International-FIFA-World-Cup,WC,2,41,-,6.15
2495,James Troisi,2012/2013,Atalanta,Italy-Serie-A,ISA,6,196,5,6.29
2496,Robbie Kruse,2017/2018,Bochum,Germany-Bundesliga-II,GB2,30,2558,7,6.89
2497,Robbie Kruse,2017,Liaoning Hong..,China-Super-league,CSl,4,360,6,7.02
2498,Robbie Kruse,2016/2017,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,1,19,-,6.69
2499,Robbie Kruse,2015/2016,Bayer Leverku..,Germany-Bundesliga,GB,9,344,9,6.24
2500,Robbie Kruse,2015/2016,VfB Stuttgart,Germany-Bundesliga,GB,3,100,3,6.25
2501,Robbie Kruse,2015/2016,Bayer Leverku..,Europe-UEFA-Europa-League,UEL,3,56,1,6.22
2502,Robbie Kruse,2014/2015,Bayer Leverku..,Germany-Bundesliga,GB,4,47,-,6.23
2503,Robbie Kruse,2014/2015,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,2,47,-,6.05
2504,Robbie Kruse,2013/2014,Bayer Leverku..,Europe-UEFA-Champions-League,UCL,4,80,1,6.25
2505,Robbie Kruse,2013/2014,Bayer Leverku..,Germany-Bundesliga,GB,15,412,1,6.53
2506,Robbie Kruse,2012/2013,Fortuna Duess..,Germany-Bundesliga,GB,30,2561,27,6.96
2507,Jonas Lössl,2017/2018,Huddersfield,England-Premier-League,EPL,38,3420,4,6.57
2508,Jonas Lössl,2016/2017,Mainz 05,Germany-Bundesliga,GB,27,2430,1,6.52
2509,Jonas Lössl,2016/2017,Mainz 05,Europe-UEFA-Europa-League,UEL,5,450,-,5.95
2510,Jonas Lössl,2015/2016,Guingamp,France-Ligue-1,FL1,37,3330,2,6.83
2511,Jonas Lössl,2014/2015,Guingamp,Europe-UEFA-Europa-League,UEL,7,630,-,7.08
2512,Jonas Lössl,2014/2015,Guingamp,France-Ligue-1,FL1,30,2689,3,6.73
2513,Simon Kjær,2017/2018,Sevilla,Spain-La-Liga,SLL,20,1572,32,6.82
2514,Simon Kjær,2017/2018,Sevilla,Europe-UEFA-Champions-League,UCL,6,540,12,6.86
2515,Simon Kjær,2016/2017,Fenerbahce,Turkey-Super-Lig,TS,27,2361,43,6.86
2516,Simon Kjær,2016/2017,Fenerbahce,Europe-UEFA-Europa-League,UEL,8,676,9,6.87
2517,Simon Kjær,2015/2016,Fenerbahce,Turkey-Super-Lig,TS,28,2499,69,7.13
2518,Simon Kjær,2015/2016,Fenerbahce,Europe-UEFA-Europa-League,UEL,8,720,17,6.88
2519,Simon Kjær,2014/2015,Lille,Europe-UEFA-Europa-League,UEL,5,450,17,7.06
2520,Simon Kjær,2014/2015,Lille,France-Ligue-1,FL1,31,2709,75,7.32
